size,bandwidth(reg),bandwidth(sync)
1,0.894058,0.765167
4,3.841539,3.110780
7,6.671857,5.405897
10,9.623720,7.744910
13,12.493452,9.937415
16,15.143879,12.375222
19,17.757268,14.442087
22,20.967565,16.792899
25,23.547764,19.110162
28,26.686502,21.453122
31,29.787705,23.615753
34,32.914798,25.669245
37,34.498103,27.812254
40,38.097941,30.417803
43,40.637915,32.849557
46,43.665571,35.006668
49,46.755729,36.968138
52,49.339129,39.585551
60,56.650337,45.453138
69,62.621829,50.615840
81,75.104359,59.836543
94,82.807507,68.180912
109,95.148529,77.976611
126,110.707710,91.031138
146,126.479511,104.525277
170,147.282822,121.177225
197,166.983026,138.422009
229,191.530116,154.044911
266,218.287617,178.240653
308,248.074200,202.801767
358,286.410052,234.726236
415,327.267401,270.261711
481,375.664897,307.517286
558,430.585697,352.932688
648,491.886107,404.294906
752,565.344794,470.855936
872,639.925043,534.763672
1011,723.184851,598.067316
1173,815.802076,673.717335
1361,914.056983,767.129639
1579,1020.016427,861.634885
1832,1119.618237,965.600937
2125,1274.188894,1073.181240
2465,1373.290650,1156.633854
2860,1543.651418,1247.388438
3317,1673.030268,1319.401326
3848,1692.216327,1394.378066
4464,1988.551490,1469.444645
5178,2172.193952,1533.746704
6007,2310.876394,1588.162763
6968,2437.120916,1651.301264
8083,2436.793950,1684.997539
9376,2758.699840,1744.273471
10876,2853.201663,1784.512316
12616,2818.267132,1814.170489
14635,3078.544970,1851.247923
16977,2966.464136,1879.863301
19693,3257.644565,1898.290879
22844,3285.102471,1905.548262
26499,3194.942048,1928.702607
30739,3432.119895,1963.857460
35657,3561.958491,1999.051420
41363,3502.223984,2012.916624
47981,3719.537349,2036.271364
55658,3724.424303,2056.516762
64563,3004.352053,1900.750684
74893,1677.733188,1683.650668
86876,1877.532236,1886.536476
100776,1705.498320,1709.698152
116901,1699.126670,1701.623267
135605,1844.105398,1850.705574
157302,1884.020262,1892.923238
182470,1823.957473,1831.573323
211665,1829.238911,1832.190394
245532,1888.805173,1899.708789
284817,1835.053432,1842.634826
330388,1845.779498,1851.289685
383250,1884.482999,1892.781215
444570,1836.954997,1843.414898
515701,1846.175400,1853.745697
598214,1877.102548,1889.204956
693928,1915.885350,1930.306958
804956,1865.431184,1876.149076
933750,1998.071722,2014.026906
1083150,2053.220785,2077.515625
1256454,1979.850933,2000.569519
1457486,1900.384590,1903.306538
1690684,1909.401433,1922.216489
1961194,1844.852246,1853.288962
2274985,1798.378429,1808.681878
2638982,1777.368094,1789.280842
3061220,1770.964698,1779.243267
3551015,1780.545072,1791.726871
4119177,1722.123585,1728.191499