grid,block,time,type
32,2,0.592910,global
32,2,0.601594,texture
32,2,0.607781,shared
32,4,0.450333,global
32,4,0.481645,texture
32,4,0.456217,shared
32,8,0.417985,global
32,8,0.480587,texture
32,8,0.445830,shared
32,16,0.470343,global
32,16,0.416066,texture
32,16,0.455278,shared
32,32,0.468506,global
32,32,0.449314,texture
32,32,0.656658,shared
64,2,1.073394,global
64,2,1.053890,texture
64,2,1.144593,shared
64,4,0.590700,global
64,4,0.594481,texture
64,4,0.656220,shared
64,8,0.446807,global
64,8,0.457196,texture
64,8,0.449884,shared
64,16,0.452946,global
64,16,0.459893,texture
64,16,0.511776,shared
64,32,0.454279,global
64,32,0.463356,texture
64,32,0.657442,shared
128,2,2.976498,global
128,2,2.859624,texture
128,2,3.486593,shared
128,4,1.079758,global
128,4,1.030540,texture
128,4,1.362111,shared
128,8,0.658709,global
128,8,0.595533,texture
128,8,0.792271,shared
128,16,0.558728,global
128,16,0.530058,texture
128,16,0.728645,shared
128,32,0.656082,global
128,32,0.654023,texture
128,32,1.535349,shared
256,2,10.730269,global
256,2,10.070993,texture
256,2,11.722012,shared
256,4,2.942472,global
256,4,3.004010,texture
256,4,4.420150,shared
256,8,1.390613,global
256,8,1.315265,texture
256,8,1.950232,shared
256,16,1.229982,global
256,16,1.052902,texture
256,16,1.858822,shared
256,32,1.300451,global
256,32,1.352324,texture
256,32,4.354277,shared
512,2,41.929870,global
512,2,38.814603,texture
512,2,46.567218,shared
512,4,10.808581,global
512,4,10.219447,texture
512,4,15.037789,shared
512,8,4.624455,global
512,8,4.188263,texture
512,8,6.493531,shared
512,16,4.115273,global
512,16,3.524397,texture
512,16,6.236316,shared
512,32,4.166857,global
512,32,3.955028,texture
512,32,15.527613,shared